key,en
ui.close,Close
ui.cancel_safe,Cancel — Keep Item
ui.inventory.title,INVENTORY
ui.inventory.empty,Your inventory is empty
ui.inventory.empty_hint,Defeat enemies to find equipment.
ui.inventory.select_hint,Select an item to compare and manage it.
ui.inventory.compare,ITEM COMPARISON
ui.inventory.selected,SELECTED
ui.inventory.equipped,EQUIPPED IN SLOT
ui.inventory.none,None
ui.inventory.score,Score
ui.inventory.score_delta,Score
ui.inventory.upgrade,UPGRADE
ui.inventory.downgrade,DOWNGRADE
ui.inventory.equip,Equip
ui.inventory.lock,Lock
ui.inventory.unlock,Unlock
ui.inventory.favorite,Favorite
ui.inventory.unfavorite,Unfavorite
ui.inventory.salvage,Salvage
ui.inventory.cannot_equipped,Equipped items cannot be salvaged.
ui.inventory.cannot_locked,Unlock this item before salvaging it.
ui.inventory.cannot_unknown,This item is no longer available.
ui.inventory.equipped_ok,Item equipped.
ui.badge.locked,[LOCKED]
ui.badge.favorite,[FAVORITE]
ui.badge.equipped,[EQUIPPED]
ui.badge.none,[NO BADGES]
ui.rarity.common,COMMON
ui.rarity.rare,RARE
ui.rarity.epic,EPIC
ui.rarity.legendary,LEGENDARY
ui.stat.tap_damage_mult,Tap damage
ui.stat.dps_mult,DPS
ui.stat.gold_mult,Gold
ui.stat.crit_chance_add,Crit chance
ui.salvage.title,SALVAGE ITEM?
ui.salvage.permanent,This action is permanent.
ui.salvage.warning,Salvage %s? This action is permanent and cannot be undone.
ui.salvage.favorite_warning,Favorite item: confirm that you really want to salvage it.
ui.salvage.confirm,Confirm Salvage
ui.salvage.success,Salvaged for %s Gold.
ui.salvage.blocked.equipped,Equipped items cannot be salvaged.
ui.salvage.blocked.locked,Unlock this item before salvaging it.
ui.salvage.blocked.unknown,This item is no longer available.
ui.offline.title,WELCOME BACK
ui.offline.time,Time away: %s
ui.offline.gold,Gold earned: %s
ui.offline.capped,Reward capped at 8 hours
ui.offline.collect,Collect
ui.offline.collected,Rewards collected! Come back soon.
ui.duration.hours_minutes,%s h %s min
ui.duration.minutes,%s min
ui.duration.seconds,%s sec
ui.settings.title,SETTINGS
ui.settings.master,Master volume
ui.settings.music,Music volume
ui.settings.sfx,SFX volume
ui.settings.ui_volume,UI volume
ui.settings.vibration,Vibration
ui.settings.reduced_flashing,Reduced flashing
ui.settings.damage_numbers,Damage numbers
ui.settings.language,Language
ui.settings.numeral_style,Numerals
ui.settings.reset_tutorial,Reset tutorial
ui.language.en,English (en)
ui.language.ar,Arabic (ar)
ui.numerals.western,Western (0123)
ui.numerals.arabic_indic,Arabic-Indic (٠١٢٣)
ui.tutorial.tap_enemy,Tap the enemy to deal damage.
ui.tutorial.upgrade_hero,Upgrade your hero's tap damage.
ui.tutorial.support_dps,Use support heroes for automatic DPS.
ui.tutorial.activate_skill,Activate a combat skill.
ui.tutorial.boss_intro,Bosses must be defeated before time runs out.
ui.tutorial.boss_retry,Retry the boss when you are stronger.
ui.tutorial.prestige_intro,Prestige is unlocked. Reset your run for permanent power.
ui.tutorial.skip,Skip tutorial
hud.gold,%s Gold
hud.stage,Stage %s
hud.stage_boss,Stage %s — BOSS
hud.tap_upgrade,TAP Lv.%s — %s dmg | Cost: %s Gold
hud.boss_failed,BOSS FAILED
hud.boss_battle,⚠ BOSS BATTLE ⚠
hud.time_up,TIME UP
hud.retry_boss,Retry Boss
hud.enemy_hp,%s / %s HP
hud.ready,READY
hud.active,ACTIVE
hud.cooldown,COOLDOWN
hud.seconds_short,%s s
hud.seconds_decimal,%s s
hud.battle,Battle
hud.heroes,Heroes
hud.skills,Skills
hud.inventory,Inventory
hud.relics,Relics
hud.shop,Shop
hud.hero_dps_placeholder,HERO DPS — PLACEHOLDER
hud.desert_placeholder,DESERT BACKGROUND — PLACEHOLDER
hud.hero_placeholder,HERO — PLACEHOLDER
hud.enemy_placeholder,ENEMY — PLACEHOLDER
hud.falcon_placeholder,FALCON — PLACEHOLDER
skill.sand_fury,SAND FURY
skill.falcon_storm,FALCON STORM
skill.golden_wind,GOLDEN WIND
skill.time_fracture,TIME FRACTURE
skill.ancestor_call,ANCESTOR CALL
skill.critical_eclipse,CRITICAL ECLIPSE
equipment.dune_knife.name,Dune Knife
equipment.sunsteel_sabre.name,Sunsteel Sabre
equipment.ifrit_fang.name,Ifrit Fang
equipment.blade_of_high_noon.name,Blade of High Noon
equipment.wanderer_wrap.name,Wanderer Wrap
equipment.scarab_circlet.name,Scarab Circlet
equipment.oracle_veil.name,Oracle Veil
equipment.crown_of_stars.name,Crown of Stars
equipment.traveler_robes.name,Traveler Robes
equipment.caravan_guard_mail.name,Caravan Guard Mail
equipment.stormweave_mantle.name,Stormweave Mantle
equipment.sultans_regalia.name,Sultan's Regalia
equipment.dust_wisp.name,Dust Wisp
equipment.ember_halo.name,Ember Halo
equipment.djinn_radiance.name,Djinn Radiance
equipment.solar_ascendance.name,Solar Ascendance
equipment.beetle_token.name,Beetle Token
equipment.falcon_bell.name,Falcon Bell
equipment.moon_fox_talisman.name,Moon Fox Talisman
equipment.phoenix_signet.name,Phoenix Signet
ui.inventory.same,SAME — NO CHANGE
ui.cancel,Cancel
debug.balance_data_invalid,INVALID BALANCE DATA — SAFE DEFAULTS ACTIVE
debug.content_data_invalid,INVALID CONTENT DATA — CHECK DEBUG ERRORS
ui.prestige.title,PRESTIGE
ui.prestige.explanation,Trade this run for permanent Relic Currency and grow stronger every ascent.
ui.prestige.will_reset,WILL RESET
ui.prestige.will_keep,WILL KEEP
ui.prestige.you_receive,YOU RECEIVE
ui.prestige.currency,RELIC CURRENCY
ui.prestige.requirement,Reach a higher stage first
ui.prestige.confirm,Confirm Prestige
ui.prestige.entry_line,• %s
ui.prestige.entry.stage,Stage
ui.prestige.entry.gold,Gold
ui.prestige.entry.tap_level,Tap Level
ui.prestige.entry.support_hero_levels,Support Heroes
ui.prestige.entry.active_skills,Active Skills
ui.prestige.entry.skill_timestamps,Skill Timers
ui.prestige.entry.temporary_buffs,Temporary Buffs
ui.prestige.entry.boss_time_left,Boss Timer
ui.prestige.entry.awaiting_retry,Boss Retry State
ui.prestige.entry.max_stage,Max Stage
